RENEWAL_WEEK,STAGE_NAME,ACCOUNT_ID,ACCOUNT_NAME,OPPORTUNITY_ID,CUSTOMER_SINCE_DATE,PRED_POINT,WEEKS_TO_RENEWAL,PARENT_MULTIYEAR,INDUSTRY,GEO,WEEKS_AS_CUSTOMER,PROJECTS_CREATED_LAST_12_WEEKS,AVG_WAU_LAST_12_WEEKS,WEEKS_WITH_PREDS_LAST_12_WEEKS,DEPLOYMENTS_CREATED_LAST_12_WEEKS,HEALTH_SUMMARY_FLAG,TOTAL_ACTIVE_ARR,TS_PROJECTS_CREATED_LAST_12_WEEKS
2021-07-05,7-Closed Won,0010Z000023MnhVQAS,Bessemer Group Inc.,0063q00000ybMJYAA2,2019-07-08,2021-04-12,12,False,Financial Services,AMER,92,7,1.0,6,1,Green,70000.0,0
2021-07-05,7-Closed Won,0010Z000026glOgQAI,"Hearst Magazine Media, Inc.",0063q00000ybnqWAAQ,2019-07-10,2021-04-12,12,False,Other,AMER,92,2475,5.333,12,64,Green,117600.0,0
2021-12-13,8-Closed Lost,0012A000023s1vdQAA,Saif Corporation,0063q00000zK8gEAAS,2020-12-14,2021-09-20,12,False,Insurance,AMER,40,0,0.083,0,0,Green,13176.0,0
2021-12-13,7-Closed Won,0012A000023s1u2QAA,Intuitive Surgical Operations Inc,0063q00000zK8IEAA0,2020-12-14,2021-09-20,12,False,Manufacturing,AMER,40,93,4.75,6,0,Green,143510.0,14
2021-12-13,8-Closed Lost,0013q00002Fr3olAAB,Majestic Steel USA Inc,0063q00000zKCGqAAO,2020-12-18,2021-09-20,12,False,Manufacturing,AMER,40,8,0.333,0,0,Red,40000.0,1
2021-12-13,7-Closed Won,0012A00002GoxhKQAR,"Greenlight Capital Re, Ltd.",0063q00000zKADqAAO,2020-12-17,2021-09-20,12,False,Insurance,AMER,40,23,0.833,3,0,Green,18000.0,0
2021-12-13,7-Closed Won,0012A00002KmIcrQAF,Iberdrola S.A.,0063q00000zKBnKAAW,2020-12-16,2021-09-20,12,False,Utilities,EMEA,40,68,3.083,10,4,Green,90630.0,18
2022-06-20,7-Closed Won,0013q00002DO0NrAAL,IDP Education - Australia,0063q0000113NmYAAU,2020-06-22,2022-03-28,12,False,Education,APAC,92,60,1.833,12,0,Green,43000.0,0
2022-06-20,8-Closed Lost,0012A00002GmdkkQAB,LIFENET INSURANCE COMPANY,0063q0000113Q48AAE,2019-06-24,2022-03-28,12,False,Insurance,JAPAN,144,0,0.0,0,0,Red,33000.0,0
2022-06-20,8-Closed Lost,0012A00002IKZoSQAX,BlueScope Steel,0063q0000113SaBAAU,2020-06-22,2022-03-28,12,False,Manufacturing,APAC,92,5633,9.583,12,33,Green,437397.62,3608
2022-06-20,7-Closed Won,0010Z000023k6TYQAY,"SEKISUI CHEMICAL CO., LTD.",0063q0000113NDsAAM,2019-06-21,2022-03-28,12,False,Manufacturing,JAPAN,145,183,9.416,7,0,Green,106275.0,1
2022-06-20,7-Closed Won,001F000001nu86nIAA,Dell USA L.P.,0063q00000ywmQhAAI,2020-09-21,2022-03-28,12,False,Manufacturing,AMER,79,5,1.416,5,0,Red,100000.0,0
2022-06-27,8-Closed Lost,0012A00002DHKTVQA5,University of Minnesota,0063q0000113MgYAAU,2020-07-01,2022-04-04,12,False,Education,AMER,92,0,0.166,0,0,Yellow,12960.0,0
2022-06-27,7-Closed Won,0012A00002BNxSNQA1,"Pacers Basketball, LLC",0063q00000ybPj2AAE,2019-05-31,2022-04-04,12,True,Entertainment,AMER,149,9,1.416,9,0,Green,41000.0,0
2022-06-27,7-Closed Won,0010Z000028lvbVQAQ,Norfolk Iron & Metal Co,0060Z00000uAibnQAC,2019-06-30,2022-04-04,12,True,Manufacturing,AMER,145,122,3.833,12,3,Green,101133.0,1
2022-06-27,7-Closed Won,0010Z000022ycJWQAY,ORIX CREDIT CORPORATION,0063q0000113NDiAAM,2021-07-01,2022-04-04,12,False,Financial Services,JAPAN,40,95,4.0,12,1,Green,45000.0,0
2022-06-27,7-Closed Won,0012A00002Ib2lBQAR,Veem,0063q0000113R1xAAE,2021-07-01,2022-04-04,12,False,Financial Services,AMER,40,34,2.583,12,8,Yellow,43500.0,0
2022-06-27,7-Closed Won,001F000001rxsf8IAA,NTT DATA CORPORATION,0063q0000113fgXAAQ,2017-02-06,2022-04-04,12,False,Technology,JAPAN,269,24,0.75,4,3,Yellow,123675.0,0
2022-06-27,7-Closed Won,0010Z000025kbFyQAI,TAITO CORPORATION,0063q00000yxD5rAAE,2019-07-03,2022-04-04,12,False,Manufacturing,JAPAN,144,54,1.0,9,0,Yellow,60937.5,0
2022-06-27,7-Closed Won,0013q00002Fs4vDAAR,"Tech Processing & Servicing, Inc.",0063q0000113Q6OAAU,2020-10-01,2022-04-04,12,False,Financial Services,AMER,79,19,3.0,12,0,Green,68000.0,0
2022-06-27,7-Closed Won,0010Z000025naReQAI,PALTAC CORPORATION,0063q0000113Q4cAAE,2021-07-01,2022-04-04,12,False,Retail,JAPAN,40,113,2.416,12,8,Green,45000.0,88
2022-06-27,7-Closed Won,0012A000029yHjpQAE,Toppan Inc.,0063q0000113Q6nAAE,2017-07-01,2022-04-04,12,False,Manufacturing,JAPAN,249,173,1.416,12,24,Green,181500.0,55
2022-06-27,7-Closed Won,001F000001nKwlQIAS,"Under Armour, Inc.",0063q000010u9JdAAI,2020-03-01,2022-04-04,12,False,Retail,AMER,110,0,0.0,0,0,Red,50000.0,0
2022-06-27,7-Closed Won,0012A00002GmcIhQAJ,"ORIENTAL LAND CO., LTD.",0063q00000yxD5wAAE,2018-06-27,2022-04-04,12,False,Entertainment,JAPAN,197,9,0.833,6,0,Green,20000.0,0
2022-06-27,7-Closed Won,0013q00002GfltaAAB,Bright Consulting JSC,0063q0000113Q4rAAE,2021-06-30,2022-04-04,12,False,Other,EMEA,40,177,3.0,10,25,Green,80496.0,34
2022-06-27,8-Closed Lost,0010Z000025Dv6WQAS,TIVIT,0060Z00000sYgHLQA0,2019-07-01,2022-04-04,12,True,Other,AMER,144,2,0.25,0,0,Yellow,40000.0,0
2022-06-27,7-Closed Won,0010Z000023k6TLQAY,TAKENAKA CORPORATION,0063q00000yxFsuAAE,2019-06-28,2022-04-04,12,False,Manufacturing,JAPAN,145,0,0.666,3,0,Yellow,33000.0,0
2022-06-27,7-Closed Won,0010Z000026lZqjQAE,Euskaltel S.A.,0063q00000wIjq7AAC,2020-08-31,2022-04-04,12,True,Media and Communications,EMEA,83,101,3.916,12,8,Yellow,72250.0,8
2022-06-27,8-Closed Lost,0012A00002EetzSQAR,DENSO CORPORATION,0063q0000113M8gAAE,2018-03-30,2022-04-04,12,False,Manufacturing,JAPAN,210,37,1.916,2,0,Green,34000.0,0
2022-06-27,7-Closed Won,0010Z000023MpGXQA0,Sanofi K.K.,0063q0000113NyjAAE,2020-07-01,2022-04-04,12,False,Manufacturing,JAPAN,92,0,0.25,0,0,Yellow,60937.5,0
2022-06-27,8-Closed Lost,0013q00002DMnnCAAT,Onco Care Analytics,0063q0000113YslAAE,2020-06-29,2022-04-04,12,False,Consulting,AMER,92,0,0.666,0,0,Green,15300.0,0
2022-06-27,7-Closed Won,0012A00002GR8J1QAL,"KOBE STEEL, LTD.",0063q00000yxDqFAAU,2019-02-25,2022-04-04,12,False,Other,JAPAN,162,16,1.416,1,0,Green,98800.0,0
2022-06-27,7-Closed Won,0012A00002GmcJVQAZ,"ONO PHARMACEUTICAL CO., LTD.",0063q00000yxFt4AAE,2018-06-28,2022-04-04,12,False,Manufacturing,JAPAN,197,240,10.416,12,23,Green,237975.0,0
2022-06-27,7-Closed Won,0010Z000022ygi8QAA,ALSAC,0063q00000xrLhfAAE,2019-07-01,2022-04-04,12,True,Healthcare,AMER,144,0,0.0,0,0,Green,245000.0,0
2021-04-26,8-Closed Lost,0012A00002BNwRmQAL,The Madison Square Garden Company,0063q00000wuwpPAAQ,2020-04-30,2021-02-01,12,False,Media and Communications,AMER,40,0,0.0,0,0,,,0
2022-12-26,8-Closed Lost,0010Z00001wpxUhQAI,Citizens Inc.,0063q00000zKI0PAAW,2021-01-01,2022-10-03,12,True,Other,AMER,92,0,0.0,0,0,Yellow,18000.0,0
2022-12-26,7-Closed Won,0010Z00001yVXV6QAO,"SHISEIDO COMPANY, LIMITED",0063q000010ukbPAAQ,2020-01-01,2022-10-03,12,False,Manufacturing,JAPAN,144,18,1.5,12,0,Green,74750.0,0
2020-09-28,7-Closed Won,0010Z00001wENOGQA4,"JAPAN BUSINESS PRESS CO.,LTD.",0060Z00000ug0DZQAY,2018-10-01,2020-07-06,12,False,Other,JAPAN,92,0,0.666,0,0,,,0
2018-12-10,7-Closed Won,0012A0000205OvqQAE,"Zeel Networks, Inc.",0062A00000qjfyRQAQ,2016-12-15,2018-09-17,12,False,Healthcare,AMER,92,0,0.0,0,0,,,0
2022-12-26,7-Closed Won,0012A00002IKEZQQA5,Suppliercard Administradora de Cartões S/A,0063q000010uYWyAAM,2018-12-15,2022-10-03,12,False,Financial Services,AMER,199,10,0.833,3,0,Green,48000.0,0
2022-12-26,8-Closed Lost,0013q00002Eb1URAAZ,CNIM Environnement & Energie EPC SAS,0063q000010uNezAAE,2022-01-01,2022-10-03,12,False,Manufacturing,EMEA,40,4,0.5,0,0,Black,45537.0,0
2021-07-19,7-Closed Won,0012A00002DmhssQAB,K.K. ASHISUTO,0063q00000ytQhzAAE,2020-07-20,2021-04-26,12,False,Technology,JAPAN,40,0,0.0,0,0,,,0
2020-12-28,7-Closed Won,0010Z000025nzRlQAI,Sanofi-Aventis Australia Pty Limited,0063q00000xqtNKAAY,2018-12-28,2020-10-05,12,False,Manufacturing,APAC,93,7,0.083,1,0,Green,39998.4,5
2020-12-28,7-Closed Won,0012A000029Woo0QAC,The Hershey Company,0060Z00000wX2UrQAK,2019-10-15,2020-10-05,12,True,Manufacturing,AMER,51,94,1.583,5,0,Yellow,177420.8,19
2020-12-28,7-Closed Won,0012A000029xWDnQAM,G&F Financial Group,0063q00000xop9KAAQ,2018-01-01,2020-10-05,12,False,Financial Services,AMER,144,62,0.916,3,0,Green,50000.0,60
2020-12-28,7-Closed Won,0012A00002GR8IrQAL,"Kirin Holdings Company, Limited",0063q00000xoUgXAAU,2017-12-28,2020-10-05,12,False,Other,JAPAN,145,520,7.416,12,2,Green,152064.0,0
2020-12-28,7-Closed Won,0010Z00001yVXV6QAO,"SHISEIDO COMPANY, LIMITED",0063q00000xogLhAAI,2020-01-01,2020-10-05,12,False,Manufacturing,JAPAN,40,75,1.416,10,17,Green,68640.0,0
2020-12-28,7-Closed Won,0012A00002BOowxQAD,InfoLegale,0063q00000xoE1hAAE,2017-06-01,2020-10-05,12,False,Media and Communications,EMEA,175,27,3.083,12,11,Green,17142.85,0
2020-12-28,8-Closed Lost,0012A00002GPzASQA1,"DRW Trading, Inc.",0063q00000xodz5AAA,2019-12-31,2020-10-05,12,False,Financial Services,AMER,40,57,1.583,12,0,Green,50000.0,15
2020-12-28,7-Closed Won,0012A000029yyxwQAA,ASURION JAPAN K.K.,0063q00000xoe24AAA,2017-07-31,2020-10-05,12,False,Insurance,JAPAN,166,486,0.916,11,1,Green,58500.0,0
2020-12-28,8-Closed Lost,0010Z00002Bl7JUQAZ,DMB Financial,0063q00000xogqfAAA,2019-12-31,2020-10-05,12,False,Financial Services,AMER,40,0,0.0,0,0,Black,45000.0,0
2020-12-28,7-Closed Won,0012A00002GoZ2iQAF,StoryFit Inc.,0063q00000vtgkTAAQ,2017-12-31,2020-10-05,12,False,Technology,AMER,145,228,1.0,12,25,Green,36000.0,0
2020-12-28,7-Closed Won,0010Z000023JTT1QAO,Transports Publics de la Région Lausannoise SA,0063q00000y9m8bAAA,2018-10-01,2020-10-05,12,False,Manufacturing,EMEA,105,27,0.833,0,0,Green,28800.0,0
2020-12-28,8-Closed Lost,0012A000029ULCKQA4,EnerBank USA,0063q00000xodkUAAQ,2017-12-31,2020-10-05,12,False,Financial Services,AMER,145,2,0.916,11,1,Green,25000.0,2
2020-12-28,7-Closed Won,0012A00002IKEZQQA5,Suppliercard Administradora de Cartões S/A,0063q00000xpk2JAAQ,2018-12-15,2020-10-05,12,False,Financial Services,AMER,95,1,0.25,1,0,Green,43294.12,0
2021-01-18,7-Closed Won,0010Z000026lHhHQAU,JAPAN TOBACCO INC.,0063q00000yAYWHAA4,2019-01-31,2020-10-26,12,False,Manufacturing,JAPAN,91,217,6.333,12,25,Green,135168.0,0
2021-01-18,7-Closed Won,001F000001pVP1FIAW,MAZDA MOTOR CORPORATION,0063q00000xo1AWAAY,2018-10-30,2020-10-26,12,False,Manufacturing,JAPAN,104,0,0.0,0,0,Black,106200.0,0
2021-01-25,7-Closed Won,0010Z000023tQoqQAE,Mitsubishi Tanabe Pharma Corporation,0063q00000xqXcBAAU,2020-01-31,2020-11-02,12,False,Manufacturing,JAPAN,40,12,0.916,1,0,Yellow,68640.0,0
2021-01-25,8-Closed Lost,0010Z00002CXdnpQAD,Punchh Inc,0063q00000xqe2LAAQ,2020-01-31,2020-11-02,12,False,Technology,AMER,40,1,0.666,0,0,Yellow,100000.0,0
2021-01-25,7-Closed Won,001F000001tn533IAA,"Acima Digital, LLC",0060Z00000ouir4QAA,2017-01-27,2020-11-02,12,True,Financial Services,AMER,197,333,4.416,12,6,Green,62910.0,0
2021-01-25,8-Closed Lost,0012A0000207YqBQAU,MYJAR IT OU,0062A00000qjg3qQAA,2017-01-25,2020-11-02,12,True,Financial Services,EMEA,197,0,1.25,12,0,Black,54000.0,0
2021-01-25,7-Closed Won,0012A00002DmPvMQAV,"Cebu Air, Inc",0063q00000xpk2EAAQ,2018-01-30,2020-11-02,12,False,Transportation,APAC,144,55,2.25,12,1,Green,45000.0,18
2021-01-25,8-Closed Lost,0010Z000026luSYQAY,Hi-Life International Co. Ltd,0063q00000xodIpAAI,2020-01-30,2020-11-02,12,False,Other,APAC,40,55,2.166,9,6,Green,74899.5,4
2021-01-25,8-Closed Lost,0010Z000028lkoNQAQ,Talabat,0063q00000yAV8kAAG,2020-01-31,2020-11-02,12,False,Retail,EMEA,40,67,5.25,12,34,Black,108562.5,0
2021-01-25,7-Closed Won,0012A00002FdRLAQA3,"Chime Financial, Inc.",0063q00000xqlNMAAY,2020-01-31,2020-11-02,12,False,Financial Services,AMER,40,58,8.0,12,5,Green,102400.0,0
2021-01-25,8-Closed Lost,0012A00002GQVpcQAH,Security First Insurance,0062A00000qk8pXQAQ,2018-01-25,2020-11-02,12,True,Insurance,AMER,145,3,0.083,0,0,Green,60000.0,0
2021-01-25,8-Closed Lost,001F000001pWOoSIAW,MARKERSTUDY LIMITED,0063q00000xqkwBAAQ,2017-01-31,2020-11-02,12,False,Insurance,EMEA,196,6,0.333,0,0,Grey,69000.0,0
2021-01-25,7-Closed Won,0012A0000204TxBQAU,Target Corporation,0063q00000xqmCQAAY,2017-01-20,2020-11-02,12,False,Technology,AMER,198,0,1.833,12,0,Green,82800.0,0
2021-02-01,8-Closed Lost,0012A00002Gmd7tQAB,"YANMAR INFORMATION SYSTEM SERVICE CO., LTD.",0063q00000xq5vFAAQ,2019-02-01,2020-11-09,12,False,Manufacturing,JAPAN,93,162,1.0,5,0,Yellow,48000.0,2
2021-02-01,8-Closed Lost,0012A00002IKZofQAH,British American Shared Services (GSD) Limited,0063q00000xrfwvAAA,2020-02-07,2020-11-09,12,False,Manufacturing,EMEA,40,1963,5.083,12,9446,Red,322310.0,160
2021-02-01,7-Closed Won,0012A000023rnxKQAQ,IMA Financial Group,0060Z00000oukHOQAY,2019-02-01,2020-11-09,12,True,Insurance,AMER,93,15,0.833,0,0,Green,78120.0,0
2021-02-01,8-Closed Lost,0012A00002KoWItQAN,Chainalytics LLC,0063q00000xp8QIAAY,2019-02-01,2020-11-09,12,False,Other,AMER,93,5,1.083,0,0,Green,70557.5,0
2021-02-01,8-Closed Lost,0012A00002GQuK4QAL,UNIVERSITY OF TOKYO,0063q00000xq5TQAAY,2018-12-27,2020-11-09,12,False,Education,JAPAN,98,1,0.166,0,0,Yellow,48000.0,0
2021-02-01,7-Closed Won,0012A00002GmcrJQAR,TAIYO NIPPON SANSO CORPORATION,0063q00000xqe55AAA,2019-02-01,2020-11-09,12,False,Utilities,JAPAN,93,85,2.333,6,0,Green,84000.0,23
2021-02-01,7-Closed Won,001F000001nwBWtIAM,transcosmos inc.,0063q00000xqTowAAE,2017-02-01,2020-11-09,12,False,Technology,JAPAN,197,720,15.833,12,65,Green,313632.0,0
2021-02-01,7-Closed Won,0010Z000023rm80QAA,MYNAVI CORPORATION,0063q00000xqaZ2AAI,2019-02-01,2020-11-09,12,False,Other,JAPAN,93,30,1.583,12,1,Green,126103.78,0
2021-02-01,7-Closed Won,0010Z0000269x87QAA,TDSE. Inc,0063q00000xqARTAA2,2019-02-01,2020-11-09,12,False,Manufacturing,JAPAN,93,0,0.333,0,0,Green,36000.0,0
2021-02-01,7-Closed Won,0012A00002DjUm5QAF,"IIDA GROUP HOLDINGS CO., LTD.",0063q00000xqATyAAM,2019-02-01,2020-11-09,12,False,Other,JAPAN,93,9,1.916,3,1,Red,53250.0,0
2021-02-01,7-Closed Won,0012A00002IGci2QAD,Outsell,0062A00000qkeRcQAI,2018-02-01,2020-11-09,12,True,Media and Communications,AMER,145,2,1.333,12,1,Red,36000.0,0
2021-02-01,8-Closed Lost,0010Z00001wsQIXQA2,American Woodmark Corporation,0063q00000xq397AAA,2019-02-01,2020-11-09,12,False,Manufacturing,AMER,93,3,0.416,1,0,Yellow,45000.0,0
2021-02-01,7-Closed Won,0012A00002Jdk5xQAB,PT Julo Teknologi Finansial (JULO),0063q00000xpk29AAA,2019-02-01,2020-11-09,12,False,Technology,APAC,93,148,2.583,12,2,Green,54000.0,0
2021-10-11,7-Closed Won,0012A00002Gm9RRQAZ,"MITSUI KNOWLEDGE INDUSTRY CO., LTD.",0063q00000zIwsHAAS,2020-10-15,2021-07-19,12,False,Other,JAPAN,40,34,1.75,4,0,Green,41250.0,0
2021-10-11,7-Closed Won,0012A00002Gm9RRQAZ,"MITSUI KNOWLEDGE INDUSTRY CO., LTD.",0063q000010tYizAAE,2020-10-15,2021-07-19,12,False,Other,JAPAN,40,34,1.75,4,0,Green,41250.0,0
2021-10-11,7-Closed Won,0013q00002Eb26sAAB,KROSAKI HARIMA CORPORATION,0063q00000zIrEaAAK,2020-10-12,2021-07-19,12,False,Manufacturing,JAPAN,40,22,2.083,3,0,Yellow,20000.0,0
2021-10-11,7-Closed Won,0010Z000023leNhQAI,"SHIZUOKA GAS Co., Ltd.",0063q00000zJ6BhAAK,2018-10-16,2021-07-19,12,False,Utilities,JAPAN,144,80,1.333,12,0,Green,20000.0,0
2021-10-11,7-Closed Won,0010Z000025naTlQAI,PLUS CORPORATION,0063q00000zIuMUAA0,2020-10-15,2021-07-19,12,False,Manufacturing,JAPAN,40,60,1.583,6,0,Yellow,33000.0,45
2021-10-11,7-Closed Won,0012A00002DIpfbQAD,"CASIO COMPUTER CO., LTD.",0063q00000zIiTCAA0,2020-10-12,2021-07-19,12,False,Retail,JAPAN,40,15,0.583,4,0,Green,33000.0,14
2021-10-18,7-Closed Won,0012A00002DkCJpQAN,CANON IT SOLUTIONS INC.,0063q00000zIwsqAAC,2018-10-23,2021-07-26,12,False,Other,JAPAN,144,249,3.166,12,0,Green,67813.0,164
2021-10-18,8-Closed Lost,0012A00002JLFoBQAX,FreshBooks,0063q00000zJKBQAA4,2019-10-21,2021-07-26,12,False,Technology,AMER,92,0,2.75,12,0,Green,75000.0,0
2022-02-21,8-Closed Lost,0013q00002GcpEWAAZ,Doshisha University,0063q00000zqLEyAAM,2021-02-22,2021-11-29,12,False,Education,JAPAN,40,0,0.0,0,0,Green,10000.0,0
2022-02-21,8-Closed Lost,0010Z000026B51EQAS,Banco BNI Europa,0060Z00000r0BaLQAU,2019-02-26,2021-11-29,12,True,Financial Services,EMEA,144,0,0.0,0,0,Grey,39150.0,0
2022-02-21,7-Closed Won,0012A00001vBAifQAG,Good Eggs,0063q00000zqNY1AAM,2021-02-22,2021-11-29,12,False,Retail,AMER,40,689,1.833,6,0,Green,31500.0,482
2022-02-21,7-Closed Won,0010Z000025ncnjQAA,Weathernews Inc.,0063q00000zKxSNAA0,2021-02-24,2021-11-29,12,False,Other,JAPAN,40,154,2.583,9,0,Green,45000.0,63
2022-02-21,7-Closed Won,0012A00002Dkww4QAB,Prophaic,0063q00000zqMXHAA2,2021-02-22,2021-11-29,12,False,Other,AMER,40,42,1.0,12,11,Grey,10000.0,0
2022-02-21,7-Closed Won,0012A00002IKZoiQAH,"BROTHER INDUSTRIES, LTD.",0063q00000zqQrsAAE,2019-02-25,2021-11-29,12,False,Manufacturing,JAPAN,144,469,1.916,8,12,Green,58500.0,0
2022-02-28,7-Closed Won,0012A00002IZbuuQAD,Carsome,0063q00000zqRNtAAM,2021-03-01,2021-12-06,12,False,Retail,APAC,40,108,2.583,12,0,Yellow,27720.0,0
2021-10-25,7-Closed Won,0012A00002GmcDDQAZ,AUCNET INC.,0063q00000zJJOzAAO,2019-10-31,2021-08-02,12,False,Retail,JAPAN,92,29,2.0,12,15,Red,46500.0,0
2021-11-01,7-Closed Won,0012A00002Ad0krQAB,"KOBAYASHI PHARMACEUTICAL CO., LTD.",0063q00000zIyKTAA0,2017-11-06,2021-08-09,12,False,Manufacturing,JAPAN,196,58,0.916,2,0,Green,81673.02,20
2021-03-22,7-Closed Won,001F000001snQusIAE,ITOCHU TECHNO-SOLUTIONS CORPORATION,0063q00000yAGatAAG,2020-03-23,2020-12-28,12,False,Technology,JAPAN,40,0,0.0,0,0,,,0
2021-04-26,8-Closed Lost,0013q00002EXnqbAAD,Ergomed,0063q00000wuwpQAAQ,2020-04-30,2021-02-01,12,False,Manufacturing,EMEA,40,6,0.75,0,0,,,0
2022-02-28,8-Closed Lost,001F000001hTwrkIAC,"EUREKA, INC,",0060Z00000ri9QvQAI,2017-01-01,2021-12-06,12,True,Media and Communications,JAPAN,258,1,0.25,0,0,Black,45000.0,0
2021-10-25,7-Closed Won,0012A00002GmctLQAR,"TOHO GAS CO., LTD.",0063q00000zIjFqAAK,2020-10-26,2021-08-02,12,False,Utilities,JAPAN,40,0,0.166,0,0,Green,33000.0,0
2021-10-25,7-Closed Won,0012A00002BxsXkQAJ,Finance Now Ltd,0063q00000zIjFbAAK,2020-10-26,2021-08-02,12,False,Financial Services,APAC,40,3,2.0,11,0,Green,11250.0,0
2021-11-01,7-Closed Won,001F00000122q7rIAA,"Salesforce.com, Inc.",0063q00000zJX17AAG,2020-11-06,2021-08-09,12,False,Technology,AMER,40,1,0.333,0,0,Green,39024.0,0
2022-08-08,7-Closed Won,0012A000029yYSqQAM,Harris Farm Markets,0060Z00000sZxjDQAS,2019-08-12,2022-05-16,12,True,Retail,APAC,144,2642,1.0,12,474,,,2512
2021-07-19,7-Closed Won,0010Z000026Al4rQAC,THR Property Management LP aka Invitation Homes,0063q00000ytdcqAAA,2020-07-23,2021-04-26,12,False,Other,AMER,40,8,0.916,6,0,,,0
2022-02-28,7-Closed Won,0012A000023sHGUQA2,SB C&S Corp.,0063q00000zqNMUAA2,2017-03-01,2021-12-06,12,False,Financial Services,JAPAN,249,85,2.833,12,0,Green,139635.0,38
2021-10-25,7-Closed Won,0012A000029z93cQAA,Icon Media Direct,0063q00000zIyL7AAK,2018-10-31,2021-08-02,12,False,Media and Communications,AMER,144,9,1.25,12,0,Yellow,18000.0,0
2021-10-25,8-Closed Lost,0012A000023uRDnQAM,Payoneer,0063q00000zJPsJAAW,2017-04-30,2021-08-02,12,False,Financial Services,AMER,223,0,0.166,0,0,Black,36000.0,0
2021-10-25,7-Closed Won,0010Z000025nZ4ZQAU,"Calbee,Inc.",0063q00000zJBZpAAO,2020-10-26,2021-08-02,12,False,Manufacturing,JAPAN,40,76,2.583,10,0,Green,21250.0,0
